Song,Address,Singer,Album
Always with me,https://music.163.com/song?id=2011105008,鹿辣辣,Always with me
Sunflower,https://music.163.com/song?id=1485620422,鹿辣辣,sunflower
流れ行く雲,https://music.163.com/song?id=1486184773,鹿辣辣,流れ行く雲
Something Just Like This Cover_（翻自 Youngso Kim）,https://music.163.com/song?id=1500834490,鹿辣辣,Something Just Like This Cover
奇迹的山（翻自 岸部眞明）,https://music.163.com/song?id=1813789714,鹿辣辣,奇迹的山！
River Flows In You,https://music.163.com/song?id=1491506105,鹿辣辣,River flows in you（重制版）
患（翻自 姜云升）,https://music.163.com/song?id=1820337899,鹿辣辣,患
Time Travel（翻自 岸部眞明）,https://music.163.com/song?id=1818832331,鹿辣辣,Time Travel
但愿人长久,https://music.163.com/song?id=1879806542,鹿辣辣,但愿人长久
奇迹的山新年特制版（翻自 岸部眞明）,https://music.163.com/song?id=1808371952,鹿辣辣,奇迹的山！
少年的梦,https://music.163.com/song?id=1943293412,鹿辣辣,少年的梦
